uid,run_id,timestamp_utc,split,case_type,structural_risk,parse_failed,generate_failed,fallback_used,polarity_conflict,final_triplet_count,stage1_triplet_count,text_preview
nikluge-sa-2022-train-00617,experiment_real_n50_seed1_c2__seed1_proposed,2026-02-09T13:17:40.799217Z,valid,unknown,False,False,False,False,True,4,4,
nikluge-sa-2022-train-01914,experiment_real_n50_seed1_c2__seed1_proposed,2026-02-09T13:17:40.799217Z,valid,unknown,False,False,False,False,True,7,7,
nikluge-sa-2022-train-01320,experiment_real_n50_seed1_c2__seed1_proposed,2026-02-09T13:17:40.799217Z,valid,unknown,False,False,False,False,True,5,5,
nikluge-sa-2022-train-01495,experiment_real_n50_seed1_c2__seed1_proposed,2026-02-09T13:17:40.799217Z,valid,unknown,False,False,False,False,True,5,5,
nikluge-sa-2022-train-01919,experiment_real_n50_seed1_c2__seed1_proposed,2026-02-09T13:17:40.799217Z,valid,unknown,False,False,False,False,True,3,3,
nikluge-sa-2022-train-02707,experiment_real_n50_seed1_c2__seed1_proposed,2026-02-09T13:17:40.799217Z,valid,unknown,False,False,False,False,True,2,2,
nikluge-sa-2022-train-02270,experiment_real_n50_seed1_c2__seed1_proposed,2026-02-09T13:17:40.799217Z,valid,unknown,False,False,False,False,True,2,2,
nikluge-sa-2022-train-00578,experiment_real_n50_seed1_c2__seed1_proposed,2026-02-09T13:17:40.799217Z,valid,unknown,False,False,False,False,True,3,3,
nikluge-sa-2022-train-00244,experiment_real_n50_seed1_c2__seed1_proposed,2026-02-09T13:17:40.799217Z,valid,unknown,False,False,False,False,True,5,5,
nikluge-sa-2022-train-00829,experiment_real_n50_seed1_c2__seed1_proposed,2026-02-09T13:17:40.799217Z,valid,unknown,False,False,False,False,True,2,2,
nikluge-sa-2022-train-00489,experiment_real_n50_seed1_c2__seed1_proposed,2026-02-09T13:17:40.799217Z,valid,unknown,False,False,False,False,True,5,5,
